id,name,description,price,original_price,images,brand,size,category,condition,color,in_stock,visible,material,measurements,care_instructions,tags,seller_name,seller_rating,seller_location,views,likes,company_id,display_order,reservation_status,reserved_by_order_id,created_at,updated_at
2,Black & Gold Glitter Bustier Top,"Sparkling black and gold glitter bustier top with structured seaming. Features adjustable straps and a hook-and-eye back closure. New with tags.

Style notes: Pair with high-waisted trousers or a skirt for a glamorous evening look.",30.00,30.00,"2_black-gold-glitter-bustier-top_1.jpg, 2_black-gold-glitter-bustier-top_2.jpg",High Street Brand,S/M,Bustiers & Corsets,New with Tags,"Black, Gold Glitter",true,true,Polyester Blend (with glitter),{},[],[],,,,4,0,2,39,available,,2026-03-30 13:14:55.337649,2026-04-10 19:10:14.448033
3,Black Patent Faux Leather Lace-Up Bustier Top,"Black strapless bustier top crafted from shiny patent faux leather. It features a bold front lace-up closure with silver-toned grommets, perfect for an edgy look.

Style notes: Pair with high-waisted jeans or a skirt for a bold, night-out ensemble.",25.00,25.00,"3_black-patent-faux-leather-lace-up-bustier-top_1.jpg, 3_black-patent-faux-leather-lace-up-bustier-top_2.jpg",Contemporary,S/M,Tops / Bustiers & Corsets,Excellent,Black,true,true,Patent Faux Leather,{},[],[],,,,0,0,2,38,available,,2026-03-30 13:15:54.626935,2026-04-10 19:10:14.104925
5,Black Faux Leather Strapless Cut-Out Mini Dress,"Edgy black faux leather strapless mini dress with a structured bodice. Features bold side cut-outs and snap button detail. Perfect for a night out.

Style notes: Pair with chunky boots or heels for a bold, statement-making evening look.",45.00,45.00,"5_black-faux-leather-strapless-cut-out-mini-dress_1.jpg, 5_black-faux-leather-strapless-cut-out-mini-dress_2.jpg",PrettyLittleThing,XL,Mini Dresses,New with tags,Black,true,true,Faux Leather,{},[],[],,,,0,0,2,37,available,,2026-03-30 14:49:50.146062,2026-04-10 19:10:13.761913
6,Black Lace & Mesh Bustier Top,"Black lace and mesh bustier top with structured boning. Features sheer panels and a multi-hook back closure. Perfect for layering or as a statement piece.

Style notes: Pair this versatile bustier with high-waisted jeans or a skirt for a trendy night-out look.",15.00,15.00,"6_black-lace-mesh-bustier-top_1.jpg, 6_black-lace-mesh-bustier-top_2.jpg, 6_black-lace-mesh-bustier-top_3.jpg",Auden,M/L/XL,Bustier Tops,New with tags,Black,true,true,"Lace, Mesh, Fabric",{},[],[],,,,0,0,2,36,available,,2026-03-30 15:01:05.247173,2026-04-10 19:10:13.419104
7,Off-White Draped Mesh Corset Top,"Off-white corset-style top featuring a draped sheer mesh overlay and sweetheart neckline. It has visible boning details and delicate spaghetti straps, perfect for a chic look.

Style notes: Pair with high-waisted trousers or a skirt for an elegant evening or party ensemble.",30.00,30.00,"7_off-white-draped-mesh-corset-top_1.jpg, 7_off-white-draped-mesh-corset-top_2.jpg, 7_off-white-draped-mesh-corset-top_3.jpg",SHEINBAE,Small/Medium,Corset Tops,New with tags,Off-White,true,true,Satin-blend and Mesh,{},[],[],,,,0,0,2,35,available,,2026-03-30 15:05:52.659535,2026-04-10 19:10:12.96632
9,Missguided Off-White Strapless Corset Top,"Off-white strapless top with a structured, corset-style fit. Features five prominent gold teardrop buttons down the front and an elasticated top edge. Made from a sturdy cotton blend.

Style notes: Pair with high-waisted denim or a maxi skirt for a trendy, summer-ready outfit.",35.00,35.00,"9_missguided-off-white-strapless-corset-top_1.jpg, 9_missguided-off-white-strapless-corset-top_2.jpg",Missguided,S/M,Tops,New with tags,Off-white,true,true,Cotton blend,{},[],[],,,,0,0,2,34,available,,2026-03-30 15:09:21.461506,2026-04-10 19:10:12.525876
10,Black Faux Leather Multi-Buckle Studded Mini Skirt,"Edgy black faux leather mini skirt featuring multiple horizontal straps with silver-tone buckles and grommets. Accented with pyramid studs for a punk-inspired look.

Style notes: Pair with a band tee and combat boots for a complete edgy, alternative look.",40.00,40.00,"10_black-faux-leather-multi-buckle-studded-mini-skirt_1.jpg, 10_black-faux-leather-multi-buckle-studded-mini-skirt_2.jpg",ROMWE,S/M,Mini Skirts,New with tags,Black,true,true,Faux Leather,{},[],[],,,,0,0,2,30,available,,2026-03-30 15:09:55.851083,2026-04-10 19:10:10.333422
11,Black Faux Leather Button-Front A-Line Mini Skirt,"Black faux leather A-line mini skirt with a full-length silver button-front closure and vertical panel stitching. This versatile piece can be dressed up or down.

Style notes: Pair with a graphic tee and sneakers for a casual look, or a blouse and boots for an edgy ensemble.",30.00,30.00,"11_black-faux-leather-button-front-a-line-mini-skirt_1.jpg, 11_black-faux-leather-button-front-a-line-mini-skirt_2.jpg",H&M,Small,Skirts,Excellent,Black,true,true,Faux Leather,{},[],[],,,,0,0,2,29,available,,2026-03-30 15:24:15.245937,2026-04-10 19:10:09.761265
12,Bershka Silver Metallic Faux Leather Mini Skirt,"Metallic silver mini skirt with a crinkled texture. Features an asymmetrical snap-button closure and two decorative zipper pockets. Made from a faux leather material.

Style notes: Pair this statement skirt with a simple black top and boots for a bold evening look, or dress it down with a graphic tee and sneakers.",35.00,35.00,"12_bershka-silver-metallic-faux-leather-mini-skirt_1.jpg, 12_bershka-silver-metallic-faux-leather-mini-skirt_2.jpg, 12_bershka-silver-metallic-faux-leather-mini-skirt_3.jpg",Bershka,M,Mini Skirts,New with tags,Silver Metallic,true,true,Faux Leather,{},[],[],,,,0,0,2,28,available,,2026-03-30 15:31:07.457088,2026-04-10 19:10:09.178084
13,Black Velvet Sleeveless Dress,"Black velvet sleeveless Dress with a round neckline. Features a visible back zipper closure. Soft, shimmering fabric, perfect for evening wear.

",35.00,35.00,"13_black-velvet-sleeveless-dress_1.jpg, 13_black-velvet-sleeveless-dress_2.jpg",Onyx,Not visible,Dresses,Excellent,Black,true,false,Velvet,{},[],[],,,,1,0,2,27,available,,2026-03-30 15:32:14.446766,2026-04-10 19:10:08.443973
14,Black Floral Brocade Lace-Up Corset,"Black brocade corset with a subtle floral pattern and front lace-up detail. Features ruffled trim along the bustline and hem, with strap loops.

Style notes: Pair with high-waisted jeans for a chic casual look or a skirt for an evening outfit.",25.00,25.00,"14_black-floral-brocade-lace-up-corset_1.jpg, 14_black-floral-brocade-lace-up-corset_2.jpg",Fashion Brand,M/XL,Corsets & Bustiers,Excellent,Black,true,false,Brocade fabric (polyester blend),{},[],[],,,,0,0,2,26,available,,2026-03-31 09:32:43.786051,2026-04-10 19:10:07.624888
15,Camel Faux Suede Mini Skirt,"Camel faux suede mini skirt with a soft texture. Features a concealed side zipper closure and a clean, minimalist design.

Style notes: Pair with a chunky knit sweater and ankle boots for a chic autumn look.",20.00,20.00,"15_camel-faux-suede-mini-skirt_1.jpg, 15_camel-faux-suede-mini-skirt_2.jpg",Bershka,"S/M,38 ",Skirts,Excellent,Camel Brown,true,true,Faux Suede,{},[],[],,,,0,0,2,25,available,,2026-03-31 09:36:37.173463,2026-04-10 19:10:06.727234
16,Black Glitter Bodycon Mini Dress,"Black glitter bodycon mini dress with a V-neckline and delicate spaghetti straps. Made from a stretchy, sparkly knit fabric, perfect for a night out.

Style notes: Pair with heels and minimalist jewelry for a chic evening look, or layer under a blazer for a sophisticated party outfit.",35.00,35.00,"16_black-glitter-bodycon-mini-dress_1.jpg, 16_black-glitter-bodycon-mini-dress_2.jpg",Fashion Brand,S/M,Dresses,Excellent,Black with silver glitter,true,true,Glitter knit blend (likely polyester/spandex),{},[],[],,,,0,0,2,24,available,,2026-03-31 09:37:20.373908,2026-04-10 19:10:05.696547
